feature,importance
delta_hrrr_gfs_06,21492.09767409414
knyc_hrrr_f06_c,17689.439949572086
klga_hrrr_f06_c,15545.009357679635
day_of_year_sin,6301.732650518417
delta_hrrr_gfs_07,5924.455714982003
delta_hrrr_gfs_05,4862.51116271317
delta_hrrr_rap_06,4630.532001378015
day_of_year,3385.236301600933
klga_hrrr_f05_c,3132.032583011547
klga_dp_dep,1487.195998687297
tmax_trend3_c,1443.2355517223477
month_cat,1075.105620622635
knyc_hrrr_f05_c,1052.6853019148111
knyc_dp_dep,895.5244239419699
klga_gfs_f05_c,828.4607042819262
klga_obs_pressure_mslp_hpa,810.2367989420891
knyc_obs_pressure_mslp_hpa,784.5260818004608
klga_morning_avg_dewpoint_c,678.7503996491432
knyc_morning_max_temp_c,634.9746319651604
doy_sin_3,624.1649642586708
klga_rap_f05_c,618.7542320266366
klga_rap_f06_c,591.6820734553039
delta_hrrr_rap_05,560.8499027192593
klga_gfs_f06_c,515.976698115468
klga_obs_wind_dir_sin,472.0675976499915
knyc_hrrr_f07_c,469.8898684978485
lag1_tmax_c,419.45140920579433
knyc_morning_avg_temp_c,414.50225132890046
tmax_anom7_c,405.47244668006897
klga_gfs_f07_c,351.52127964422107
climo_tmax_doy_c,349.63634368777275
doy_cos_3,349.4219100885093
klga_hrrr_f07_c,347.5463810618967
lag2_tmax_c,346.8321880698204
knyc_morning_avg_dewpoint_c,344.6280417442322
klga_obs_wind_speed_kts,335.3907849788666
doy_sin_2,328.9210225492716
delta_hrrr_rap_07,310.6415499597788
klga_rap_f07_c,308.32396380603313
knyc_obs_visibility_mi,305.52993059158325
month,297.1829204559326
klga_obs_dewpoint_c,291.59387642145157
klga_morning_avg_temp_c,283.85984191298485
doy_cos_2,239.17956706881523
lag3_tmax_c,225.9999144077301
day_of_year_cos,221.91634380817413
klga_morning_max_temp_c,198.86368918418884
klga_obs_wind_dir_cos,179.82262951135635
knyc_morning_min_temp_c,158.02568238973618
knyc_obs_temp_c,114.38608199357986
knyc_yesterday_high_c,113.1778614372015
knyc_obs_dewpoint_c,109.29716354981065
knyc_obs_wind_dir_cos,80.54241991043091
klga_morning_min_temp_c,74.48430049419403
prec_yday_bin,55.582479596138
klga_obs_temp_c,51.006073504686356
knyc_obs_wind_speed_kts,49.3147389292717
knyc_obs_wind_dir_sin,6.647509813308716
knyc_obs_wind_dir_sin_isna,3.5691699981689453
knyc_obs_wind_dir_cos_isna,2.6530299186706543
data_quality_klga_obs_hours,0.0
knyc_wind_speed_missing,0.0
data_quality_knyc_obs_hours,0.0
klga_obs_wind_dir_sin_isna,0.0
klga_obs_wind_dir_cos_isna,0.0
